HarmonizedTimeSeries,KohaEUnifikuar,MudaUlioratibiwa,Harmonisert: Flaggskip,гармонізувати,تنسجم,Hindi,SériesHarmonizadas
&Chart,&Grafikë,&Mchoro,&Graf,Діаграма,لتشييد,चार्ट,&Gráfico
&MultiChart,&ShumëGrafikë,&MchoroNyingi,&MangeGraf,Діаграма,لتشييد,मल्टीचार्ट,&MultiGráfico
&Report,&Raport,&Ripoti,&Rapport,звіт,تقرير,प्रतिवेदन,&Relatório
&Clear Selected,&PastroZgjedhur,&FutaZilizochaguliwa,Fjern Valgte,видалити вибране,احذف المختار,स्पष्ट,&Limpar Selecionados
Clear &All,Pastro &Gjitha,Futa &Zote,Fjern &Alle,видалити все,حذف الكل,मिटाना,Limpar &Tudo
Name,Joker,&KadiYaPori,Navn,символ,حرف البدل,वाइल्डकार्ड,Nome
Desc,Nënvarg,&MfuatanoNdogo,Beskriv,підрядок,سلسلة فرعية,सबस्ट्रिंगसबस्ट्रिंग,Desc
Search&Show,Kërko&Dshfaq,Tafuta&Oonyesha,Søk&Vis,Діаграма,لتشييد,खोज,Pesquisar&Mostrar
&File,&Skedar,&Faili,&Fil,файл,ملف,फ़ाइल,&Ficheiro
Save Chart definition,Ruaj Grafikun,Hifadhi Chati,Lagre Chart,Зберегти Діаграму,حفظ المخطط,चार्ट सहेजें,Guardar Gráfico
Retrieve Chart,Merr Grafikun,Pata Chati,Hent Diagram,Отримати Діаграму,استرجاع المخطط,चार्ट प्राप्त करें,Obter Gráfico
Copy datafile as,Kopjo skedarin si,Nakili faili kama,Kopier Json web-filen som..,Копіювати як,نسخ باسم,कॉपी करें नाम से,Copiar ficheiro como
Export as PX-web,Eksporto si PX-Web,Hamisha kama PX-Web,Lagre som Px-web,Експортувати як PX-Web,تصدير كـ PX-Web,PX-Web के रूप में निर्यात,Exportar como PX-web
&Exit,&Dalje,&Ondoka,&Avslutt,Пошук і Показ,التشييد,रुकना,&Sair
&Chart,&Grafikë,&Mchoro,&Graf,Діаграма,لتشييد,चार्ट,&Gráfico
&Report,&Raport,&Ripoti,&Rapport,звіт,تقرير,प्रतिवेदन,&Relatório
&Options,Opsione,Chaguo,&Opsjoner,Optsii,خيارات,विकल्प,&Opções
&ExecuteReport,&Raport,&Ripoti,&KjørRapport,звіт,تقرير,प्रतिवेदन,&ExecutarRelatório
&Admin,&Admin,&Msimamizi,&Administrer,Адмініструвати,يدير,एडमिरल,&Admin
